occ18,occ10,ratio
0010,0010,1
0020,0020,1
0030,0030,1
0040,0040,1
0051,0050,1
0052,0050,1
0060,0060,1
0101,0100,1
0102,0100,1
0110,0110,1
0120,0120,1
0135,0135,1
0136,0136,1
0137,0137,1
0140,0140,1
0150,0150,1
0160,0160,1
0205,0205,1
0220,0220,1
0230,0230,1
0300,0300,1
0310,0310,1
0325,0325,1
0335,0330,0.24087689701505346
0340,0340,1
0350,0350,1
0360,0360,1
0400,0400,1
0410,0410,1
0420,0420,1
0425,0425,1
0335,0430,0.7591231029849465
0426,0430,1
0440,0430,1
0705,0430,0.9602380518502717
0500,0500,1
0510,0510,1
0520,0520,1
0530,0530,1
0540,0540,1
0565,0565,1
0600,0600,1
0630,0630,1
0640,0640,1
0650,0650,1
0700,0700,1
0710,0710,1
0725,0725,1
0726,0726,1
0735,0735,1
0705,0740,0.032852119512423734
0750,0740,1
0800,0800,1
0810,0810,1
0820,0820,1
0830,0830,1
0845,0840,1
0960,0840,0.08274202262057417
0850,0850,1
0860,0860,1
0900,0900,1
0910,0910,1
0930,0930,1
0940,0940,1
0960,0950,0.9172579773794258
1005,1005,1
1006,1006,1
1007,1007,1
1010,1010,1
1021,1020,1
1022,1020,0.9241590039880172
1031,1030,1
1032,1030,0.9321373810428834
1050,1050,1
1065,1060,0.9264378703250605
1105,1105,1
1106,1106,1
0705,1107,0.006909828637304637
1022,1107,0.07584099601198271
1032,1107,0.06786261895711669
1065,1107,0.07356212967493944
1108,1107,0.8937896517161362
1200,1200,1
1210,1210,1
1220,1220,1
1230,1230,1
1240,1240,1
1305,1300,1
1306,1300,1
1310,1310,1
1320,1320,1
1330,1330,1
1340,1340,1
1350,1350,1
1360,1360,1
1400,1400,1
1410,1410,1
1420,1420,1
1430,1430,1
1440,1440,1
1450,1450,1
1460,1460,1
1500,1500,1
1510,1510,1
1520,1520,1
1530,1530,1
1541,1540,1
1545,1540,1
1551,1550,1
1555,1550,1
1560,1560,1
1600,1600,1
1610,1610,1
1640,1640,1
1650,1650,1
1660,1660,1
1700,1700,1
1710,1710,1
1720,1720,1
1745,1740,1
1750,1740,1
1760,1760,1
1800,1800,1
1815,1815,1
1821,1820,1
1822,1820,1
1825,1820,1
1830_1860,1830_1860,1
1840,1840,1
1900,1900,1
1910,1910,1
1920,1920,1
1935,1930,0.3826477938683948
1940,1940,1
1950,1950,1
1935,1965,0.6173522061316052
1970,1965,1
2001,2000,1
2002,2000,1
2003,2000,1
2004,2000,1
2005,2000,1
2006,2000,1
2011,2010,1
2012,2010,1
2013,2010,1
2014,2010,1
2015,2015,1
2016,2016,1
2025,2025,1
2040,2040,1
2050,2050,1
2060,2060,1
2100,2100,1
2105,2105,1
2110,2110,1
2145,2145,1
2170,2160,1
2180,2160,1
2862,2160,1
2205,2200,1
2545,2200,0.10224242914702222
2300,2300,1
2310,2310,1
2320,2320,1
2330,2330,1
2350,2340,1
2360,2340,1
2400,2400,1
2435,2430,0.980800538563736
2440,2440,1
2545,2540,0.8977575708529777
2435,2550,0.019199461436264012
2555,2550,1
2600,2600,1
2631,2630,1
2632,2630,1
2633,2630,1
2634,2630,1
2635,2630,1
2636,2630,1
2640,2630,1
2700,2700,1
2710,2710,1
2721,2720,1
2722,2720,1
2723,2720,1
2740,2740,1
2751,2750,1
2752,2750,1
2755,2760,1
2770,2760,1
2805,2800,1
2865,2800,0.2806162398047699
2810,2810,1
2825,2825,1
2830,2830,1
2840,2840,1
2850,2850,1
2861,2860,1
2865,2860,0.7193837601952302
2905_2970,2900_2960,1
5040,2900_2960,0.35441264430137354
2910,2910,1
2920,2920,1
3000,3000,1
3010,3010,1
3030,3030,1
3040,3040,1
3050,3050,1
3065,3060,1
3070,3060,1
3090,3060,1
3100,3060,1
3110,3110,1
3120,3120,1
3140,3140,1
3150,3150,1
3160,3160,1
3200,3200,1
3210,3210,1
3220,3220,1
3230,3230,1
3235_3245,3235_3245,1
3250,3250,1
3255,3255,1
3256,3256,1
3257,3257,1
3258,3258,1
3261,3260,1
3270,3260,1
3300,3300,1
3310,3310,1
3321,3320,1
3322,3320,1
3323,3320,1
3324,3320,1
3330,3320,1
3401,3400,1
3402,3400,1
3421,3420,1
3422,3420,1
3423,3420,1
3424,3420,1
3430,3420,1
3545,3420,0.06770604004240353
3500,3500,1
3515,3510,1
3520,3520,1
3545,3535,0.9322939599575965
1980,3540,1
3550,3540,1
3601,3600,1
3603,3600,1
3605,3600,1
3610,3610,1
3620,3620,1
3630,3630,1
3640,3640,1
3645,3645,1
3646,3646,1
3647,3647,1
3648,3648,1
3649,3649,1
3655,3655,1
3700,3700,1
3710,3710,1
3720,3720,1
3725,3730,1
3735,3730,1
3740,3740,1
3750,3750,1
3801,3800,1
3802,3800,1
3820,3820,1
3830,3830,1
3840,3840,1
3870,3850,0.9967730571408441
3870,3860,0.0032269428591559218
3900,3900,1
3910,3910,1
3930,3930,1
3940,3940,1
3945,3945,1
3946,3955,1
3960,3955,1
4000,4000,1
4010,4010,1
4020,4020,1
4030,4030,1
4040,4040,1
4055,4050,0.7994446002805049
4055,4060,0.2005553997194951
4110,4110,1
4120,4120,1
4130,4130,1
4140,4140,1
4150,4150,1
4160,4160,1
4200,4200,1
4210,4210,1
4220,4220,1
4230,4230,1
4240,4240,1
4251,4250,1
4252,4250,1
4255,4250,1
4330,4300,0.22635636054660158
4330,4320,0.7736436394533984
9005,4320,0.007307850424346042
4340,4340,1
4350,4350,1
4400,4400,1
4435,4410,0.03450622258035634
4420,4420,1
4435,4430,0.9654937774196437
4461,4460,0.8242371403790208
4465,4465,1
4500,4500,1
4510,4510,1
4521,4520,1
4522,4520,1
4525,4520,1
4530,4530,1
4540,4540,1
4600,4600,1
3602,4610,1
4621,4620,1
4622,4620,1
4640,4640,1
4461,4650,0.17576285962097912
4655,4650,1
4700,4700,1
4710,4710,1
4720,4720,1
4740,4740,1
4750,4750,1
