occ10,occ18,ratio
4940,4940,1
4950,4950,1
4965,4965,1
5000,5000,1
5010,5010,1
5020,5020,1
5030,5040,1
5100,5100,1
5110,5110,1
5120,5120,1
5130,5130,1
5140,5140,1
5150,5150,1
5160,5160,1
5165,5165,1
5200,5200,1
5210,5210,1
5220,5220,1
5230,5230,1
5240,5240,1
5250,5250,1
5260,5260,1
5300,5300,1
5310,5310,1
5320,5320,1
5330,5330,1
5340,5340,1
5350,5350,1
5360,5360,1
5400,5400,1
5410,5410,1
5420,5420,1
5500,5500,1
5510,5510,1
5520,5521,0.3331
5520,5522,0.6669
5530,5530,1
5540,5540,1
5550,5550,1
5560,5560,1
5600,5600,1
5610,5610,1
5620,9645,1
5630,5630,1
5700,5710,0.0642
5700,5720,0.0277
5700,5730,0.0327
5700,5740,0.8754
5800,1108,1
5810,5810,1
5820,5820,1
5830,5830,1
5840,5840,1
5850,5850,1
5860,5860,1
5900,5900,1
5910,5910,1
5920,5920,1
5940,5940,1
6005,6005,1
6010,6010,1
6020,6020,1
6040,6040,1
6050,6050,1
6100_6110,6115,1
6120,6120,1
6130,6130,1
6200,6200,1
6210,6210,1
6220,6220,1
6230,6230,1
6240,6240,1
6250,6250,1
6260,6260,1
6300,6305,1
6310_6320,6305,1
6330,6330,1
6355,6355,1
6360,6360,1
6400,6400,1
6420,6410,1
6430,6410,1
6440,6441,0.0953
6440,6442,0.9047000000000001
6460,6460,1
6500,6500,1
6515,6515,1
6520,6520,1
6530,6530,1
6540_6765,6540_6765,1
6600,6600,1
6660,6660,1
6700,6700,1
6710,6710,1
6720,6720,1
6730,6730,1
6740,6740,1
6750,6750,1
6800,6800,1
6820,6825,0.9753000000000001
6820,6835,0.024700000000000003
6830,6835,1
6840,6850,0.7356
6840,6950,0.2644
6910,6950,1
6920,6920,1
6930,6950,1
6940,6950,1
7000,7000,1
7010,7010,1
7020,7020,1
7030,7030,1
7040,7040,1
7050,7050,1
7100,7100,1
7110,7110,1
7120,7120,1
7130,7130,1
7140,7140,1
7150,7150,1
7160,7160,1
7200,7200,1
7210,7210,1
7220,7220,1
7240,7240,1
7260,7260,1
7300,7300,1
7315,7315,1
7320,7320,1
7330,7330,1
7340,7340,1
7350,7350,1
7360,7360,1
7410,7410,1
7420,7420,1
7430,7430,1
7440_7630,7440_7640,1
7510,7510,1
7520,7520,1
7540,7540,1
7550,7550,1
7560,7560,1
7600,7440_7640,1
7610,7610,1
7700,7700,1
7710,7710,1
7720,7720,1
7730,7730,1
7740,7740,1
7750,7750,1
7800,7800,1
7810,7810,1
7830,7830,1
7840,7840,1
7850,7850,1
7855,7855,1
7900,7905,1
7920,7925,1
7930,7925,1
7940,7925,1
7950,7950,1
8000,8000,1
7960,8025,1
8010,8025,1
8020,8025,1
8030,8030,1
8040,8040,1
8060,8060,1
8100,8100,1
8130,8130,1
8140,8140,1
8120,8225,1
8150,8225,1
8160,8225,1
8200,8225,1
8210,8225,1
8220,8225,1
8250,8250,1
8255_8256,8255_8256,1
8300,8300,1
8310,8310,1
8320,8320,1
8330,8335,1
8340,8335,1
8350,8350,1
8360,8365,1
8400,8365,1
8410,8365,1
8420,8365,1
8450,8450,1
8430_8460,8465,1
8440,8465,1
8500,8500,1
8510,8510,1
8530,8530,1
8540,8540,1
8520_8550,8555,1
8600,8600,1
8610,8610,1
8620,8620,1
8630,8630,1
8640,8640,1
8650,8650,1
8710,8710,1
8720,8720,1
8730,8730,1
8740,8740,1
8750,8750,1
8760,8760,1
8800,8800,1
8810,8810,1
8830,8830,1
8850,8850,1
8910,8910,1
8920,8920,1
8930,8930,1
8940,8940,1
8950,8950,1
8860,8865,1
8900,8865,1
8840,8990,1
8965,7905,0.0623
8965,8990,0.9377
9000,9005,1
9030,9030,1
9040,9040,1
9050,9050,1
9110,9110,1
9120,9121,0.5825
9120,9122,0.4009
9120,9141,0.0166
9130,9130,1
9140,9141,0.44109999999999994
9140,9142,0.5589
9150,9150,1
9200,9210,0.9441
9200,9265,0.0559
9230,9265,1
9240,9240,1
9260,9265,1
9300,9300,1
9310,9310,1
9330,9330,1
9350,9350,1
9360,9365,1
9410,9410,1
9415,9415,1
9340,9430,1
9420,9365,0.4031
9420,9430,0.5969
9510,9510,1
9500,9570,1
9520,6821,0.4174
9520,6850,0.0268
9520,9570,0.1415
9520,9760,0.4143
9560,9570,1
9600,9600,1
9610,9610,1
9620,9620,1
9630,9630,1
9640,9640,1
9650,9650,1
9720,9720,1
9730,6850,1
9740,9760,1
9750,9760,1
