naics12,naics17,ratio
21111,21112,0.70478466222858
21111,21113,0.2952153377714199
45211,45221,0.4952554527625349
45211,45231,0.5047445472374651
45291,45231,1
45299,45231,1
51221,51225,1
51222,51225,1
51711,51731,1
51721,51731,1
53222,53228,1
53223,53228,1
53229,53228,1
